Left,LeftY,Right,RightY
Bar0,0.5314553990610327,Bar0,0.6009389671361504
Bar1,0.5408450704225352,Bar1,0.40938967136150217
Bar2,0.1708920187793422,Bar2,0.4600938967136153
Bar3,0.08262910798122108,Bar3,0.3981220657276992
Bar4,0.13145539906103285,Bar4,0.4093896713615026
Bar5,0.0018779342723002506,Bar5,0.13521126760563
Bar6,0.16338028169014157,Bar6,0.5821596244131454
Bar7,0.024413145539906242,Bar7,0.3511737089201879
