PBS,,IR+PBS,,IR+9H10(12-15-18),IR+9H10(12-15-18)Y,IR+9H10(14-17-20),IR+9H10(14-17-20)Y,IR+9H10(16-18-21),IR+9H10(16-18-21)Y
16.09046254118155,43.54654551076919,15.747689672807823,39.32551528919271,15.69726090938292,39.32908336207629,15.616622462208241,37.919694572961134,15.747689672807795,39.32551528919248
28.342035466644703,120.5098776151001,20.215868409472122,33.348993208768206,20.871204462469834,40.37809678992312,20.820775699045015,40.38166486280761,21.52654051546766,47.4072003710794
46.39077534223814,260.74227809560057,25.762794514682696,40.03199372019162,24.895752803910696,30.187680633690206,24.24041675091287,23.15857705253393,26.07535769930668,42.84006707977028
60.426860452670184,357.3906683000512,31.723141331367003,49.51593144542608,29.232864329975428,22.80533783703413,27.660057802780727,5.935489242260246,30.15033480417233,32.64608285065242
85.94643133243844,577.7548496057279,37.97583225300025,63.22446746512219,33.83211027723928,18.234636472840975,32.33994219721929,2.774176667182246,37.18942898940294,54.789543167735246
